state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
VT,128,510, no, yes,29,1793,104,3048,2259,86,192,323,78,1454,86,7,232,0, False
IN,94,408, no, no,0,1579,105,2684,155,101,1318,1896,84,853,8,5,216,4, True
WV,111,510, no, no,0,2143,118,3643,2085,76,1772,1824,98,821,12,2,324,1, False
KY,74,415, no, yes,35,1541,104,262,1234,84,1049,2021,57,909,109,9,294,2, False
NJ,128,415, no, no,0,2379,125,4044,2476,93,2105,2089,68,94,139,4,375,1, True
DC,82,510, no, no,0,1439,61,2446,1949,105,1657,1096,94,493,111,2,3,1, False
LA,155,415, no, no,0,2034,100,3458,1909,104,1623,196,119,882,89,4,24,0, True
AR,80,415, no, no,0,1243,100,2113,173,107,1471,2532,62,1139,79,9,213,1, False
ME,78,415, no, no,0,2529,93,4299,1784,112,1516,2639,105,1188,95,7,257,3, False
AZ,90,415, no, no,0,1791,71,3045,1906,81,162,1277,91,575,106,7,286,3, False
AK,104,408, no, no,0,2784,106,4733,81,113,689,1632,137,734,98,5,265,1, False
MT,73,415, no, no,0,1601,110,2722,2133,72,1813,1741,72,783,13,4,351,0, False
AZ,99,415, no, no,0,1982,87,3369,2073,76,1762,1909,113,859,87,3,235,4, False
MS,120,408, no, no,0,2121,131,3606,2094,104,178,1672,96,752,53,5,143,1, True
ID,77,415, no, no,0,2518,72,4281,2057,126,1748,2752,109,1238,98,7,265,2, True
IA,98,510, no, yes,21,1612,114,274,2522,83,2144,1602,92,721,44,8,119,4, False
MA,108,415, no, no,0,1783,137,3031,189,76,1607,1291,102,581,146,5,394,0, False
VT,135,415, no, no,0,1517,82,2579,119,105,1012,180,100,81,105,6,284,0, False
KY,95,408, no, no,0,135,99,2295,1836,106,1561,2453,102,1104,125,9,338,1, False
IN,122,408, no, no,0,1705,94,2899,1737,109,1476,2486,75,1119,113,2,305,1, False
AZ,95,408, no, no,0,2381,65,4048,1872,98,1591,190,115,855,118,4,319,4, False
MI,36,510, no, yes,29,2814,102,4784,2022,76,1719,1872,113,842,9,6,243,2, False
NM,93,510, no, yes,21,1179,131,2004,1645,115,1398,217,86,976,98,3,265,1, False
CO,141,415, no, yes,32,1486,91,2526,1311,97,1114,2194,142,987,101,1,273,1, False
UT,157,408, no, no,0,2298,90,3907,1479,121,1257,2414,108,1086,96,7,259,3, False
MI,120,408, no, no,0,165,100,2805,3172,83,2696,1192,86,536,83,8,224,1, False
MA,103,415, no, no,0,185,117,3145,2233,94,1898,2228,91,1003,126,2,34,2, False
AL,98,408, no, no,0,161,117,2737,1909,113,1623,2277,113,1025,121,4,327,4, False
DE,125,408, no, no,0,1267,108,2154,206,90,1751,2478,114,1115,133,7,359,1, False
AZ,63,415, no, no,0,589,125,1001,1696,59,1442,2114,88,951,94,3,254,1, False
ME,36,510, yes, yes,42,1968,89,3346,2549,122,2167,1383,126,622,20,6,54,0, True
NJ,64,510, no, no,0,1626,83,2764,1523,109,1295,575,122,259,142,3,383,1, False
NV,74,415, no, no,0,2825,114,4803,2199,48,1869,170,115,765,94,4,254,1, True
MO,112,510, no, yes,36,1137,117,1933,1575,82,1339,1776,118,799,10,3,27,2, False
ID,97,408, no, no,0,2398,125,4077,2148,111,1826,1433,81,645,87,5,235,2, False
NE,46,408, no, no,0,2102,92,3573,2273,77,1932,2001,116,9,131,7,354,1, False
TX,41,408, no, yes,22,2138,102,3635,1418,86,1205,1422,123,64,72,3,194,0, False
MD,121,510, no, no,0,1907,103,3242,1835,117,156,2208,103,994,98,4,265,3, False
MS,193,415, no, no,0,1709,124,2905,1323,95,1125,1129,89,508,116,3,313,1, False
NV,130,510, no, no,0,1542,119,2621,1102,98,937,2274,117,1023,92,5,248,2, False
AZ,85,408, no, no,0,2014,52,3424,2294,104,195,2525,106,1136,12,3,324,1, False
MS,162,415, no, no,0,707,108,1202,1575,87,1339,1548,82,697,91,3,246,4, True
MS,61,510, no, yes,27,1875,124,3188,1466,103,1246,2257,129,1016,64,6,173,4, True
TX,92,408, no, no,0,917,90,1559,1937,123,1646,175,86,788,92,4,248,2, False
NE,131,408, no, yes,36,2142,115,3641,1617,117,1374,2647,102,1191,95,4,257,3, False
NE,90,415, no, no,0,1455,92,2474,2177,114,185,1469,123,661,109,2,294,3, False
CA,75,408, no, no,0,1663,125,2827,1582,86,1345,2567,80,1155,61,5,165,1, False
NJ,78,415, no, no,0,231,115,3927,2304,140,1958,2614,120,1176,95,3,257,1, False
TX,82,408, no, no,0,2003,96,3405,2012,102,171,2061,60,927,71,1,192,4, False
AR,163,408, no, no,0,197,109,3349,2026,128,1722,2064,80,929,91,10,246,1, False
AL,91,510, yes, no,0,1299,112,2208,1733,83,1473,2472,130,1112,112,3,302,3, False
NY,75,415, no, yes,21,1758,97,2989,2175,106,1849,2375,134,1069,53,4,143,5, False
FL,91,510, no, no,0,2031,106,3453,2101,113,1786,1956,129,88,12,3,324,3, False
AK,127,510, no, yes,36,1832,117,3114,1268,76,1078,2633,71,1185,112,8,302,1, False
NV,113,415, no, yes,23,205,101,3485,152,60,1292,1586,59,714,102,5,275,2, False
DE,110,510, no, no,0,1485,115,2525,2764,84,2349,1936,112,871,124,3,335,1, False
MD,120,415, no, yes,39,2003,68,3405,2204,97,1873,2538,116,1142,105,4,284,0, False
MI,157,415, no, yes,28,1926,107,3274,1955,74,1662,1097,139,494,68,5,184,3, False
VT,103,510, no, no,0,2465,47,4191,1955,84,1662,2005,96,902,117,4,316,1, False
VT,117,408, yes, no,0,1671,86,2841,1775,87,1509,2494,132,1122,141,7,381,2, True
MI,140,415, no, no,0,2319,101,3942,1601,94,1361,1104,98,497,143,6,386,3, False
WA,127,408, no, no,0,1467,91,2494,2035,78,173,2034,110,915,137,3,37,1, False
UT,83,408, yes, no,0,2715,87,4616,2163,126,1839,1211,105,545,117,4,316,1, False
LA,121,408, no, no,0,1815,121,3086,2184,98,1856,1616,103,727,85,5,23,1, False
RI,145,408, no, yes,43,2577,97,4381,1621,95,1378,2869,86,1291,111,4,3,2, False
IA,113,408, no, no,0,1938,99,3295,2214,125,1882,1723,67,775,106,6,286,1, False
NE,117,415, no, no,0,1028,119,1748,2067,91,1757,299,105,1346,101,7,273,1, False
OH,65,408, no, no,0,1879,116,3194,1576,117,134,2273,86,1023,75,6,203,1, False
RI,56,415, no, no,0,226,112,3842,2485,118,2112,1405,142,632,69,11,186,1, False
OK,96,415, no, no,0,2604,115,4427,146,46,1241,2695,87,1213,115,4,311,5, False
LA,151,408, no, no,0,1787,116,3038,2921,138,2483,2659,101,1197,98,4,265,0, False
OH,83,415, no, no,0,3374,120,5736,2274,116,1933,1539,114,693,158,7,427,0, True
VA,139,510, no, yes,23,1576,129,2679,247,96,21,2592,112,1166,137,2,37,0, False
MO,6,510, no, no,0,1836,117,3121,2567,72,2182,1786,79,804,102,2,275,1, False
FL,115,510, no, yes,24,1421,124,2416,1834,129,1559,1648,114,742,96,4,259,1, False
SC,87,415, no, no,0,1363,97,2317,1722,108,1464,1375,101,619,71,5,192,0, False
VA,141,415, no, no,0,2171,110,3691,2415,111,2053,2535,103,1141,12,6,324,0, False
IA,141,510, no, yes,36,1875,99,3188,2414,116,2052,2295,105,1033,105,5,284,3, False
MI,62,415, no, no,0,989,103,1681,1354,122,1151,2366,82,1065,122,1,329,1, False
OK,146,415, no, no,0,2063,151,3507,1486,89,1263,1672,91,752,61,3,165,1, False
DE,92,415, no, yes,33,2431,92,4133,2138,92,1817,2287,104,1029,121,2,327,2, False
GA,185,510, no, yes,31,1898,126,3227,1633,133,1388,2648,126,1192,75,3,203,1, False
DC,148,415, no, no,0,202,102,3434,2432,128,2067,2613,90,1176,109,3,294,1, False
AZ,94,408, no, yes,38,1701,124,2892,1933,116,1643,1059,73,477,128,4,346,1, False
AL,32,510, no, no,0,2309,87,3925,1874,90,1593,154,53,693,63,2,17,0, False
CO,68,408, no, no,0,2371,105,4031,2235,105,19,974,79,438,132,2,356,1, False
NH,64,408, no, yes,27,1821,91,3096,1697,98,1442,1647,86,741,106,5,286,2, False
NM,25,415, no, no,0,1193,87,2028,2115,101,1798,2689,86,121,105,4,284,3, False
OR,65,415, no, no,0,1168,87,1986,1789,93,1521,1824,150,821,141,2,381,1, False
LA,179,408, no, no,0,2192,92,3726,1494,125,127,2447,104,1101,61,5,165,0, False
NE,94,415, no, no,0,2526,104,4294,169,125,1437,1709,106,769,111,7,3,2, False
MN,62,415, no, no,0,1471,91,2501,1904,107,1618,1952,115,878,122,3,329,0, False
MI,127,415, no, no,0,2021,103,3436,2294,86,195,1952,113,878,115,3,311,2, False
AR,116,408, no, no,0,1735,93,295,1941,76,165,208,112,936,162,10,437,3, False
KS,70,408, no, no,0,2321,122,3946,2923,112,2485,2012,112,905,0,0,0,3, False
WV,94,510, yes, yes,23,1971,125,3351,2145,136,1823,2822,103,127,95,5,257,4, False
AK,126,415, no, no,0,582,94,989,1387,118,1179,1368,91,616,119,1,321,5, True
NY,67,408, no, yes,36,1156,111,1965,2377,94,202,1699,103,765,99,12,267,2, False
NH,19,408, no, no,0,1861,98,3164,2543,57,2162,214,127,963,146,7,394,2, False
VA,170,510, yes, no,0,2599,68,4418,245,122,2083,1344,121,605,84,3,227,3, False
NM,73,415, no, no,0,2143,145,3643,2685,135,2282,2412,92,1085,108,13,292,1, False
NY,106,408, no, no,0,1587,74,2698,643,139,547,1985,103,893,102,4,275,1, False
AZ,93,415, no, no,0,2716,71,4617,2294,108,195,773,121,348,109,3,294,2, False
WY,164,510, no, no,0,1606,111,273,1632,126,1387,1871,112,842,9,3,243,1, False
WA,51,408, no, no,0,2324,109,3951,1874,95,1593,2312,107,104,91,3,246,1, False
CO,107,415, no, no,0,1338,85,2275,1805,94,1534,1122,115,505,89,4,24,0, False
TX,130,415, no, no,0,1769,109,3007,907,104,771,238,69,1071,95,2,257,1, False
KY,80,408, no, no,0,2099,74,3568,1951,77,1658,2082,119,937,88,4,238,2, False
MT,94,415, no, no,0,1375,118,2338,2032,88,1727,150,131,675,134,2,362,0, False
OK,118,408, no, yes,23,2895,52,4922,1666,111,1416,1191,88,536,95,4,257,1, False
MD,117,415, no, yes,23,1981,86,3368,177,86,1505,1805,92,812,68,6,184,1, False
TN,78,415, no, no,0,1497,119,2545,1822,115,1549,2615,126,1177,97,8,262,0, False
TX,208,510, no, no,0,3265,67,5551,1763,113,1499,1817,102,818,107,6,289,2, True
ME,131,510, yes, yes,26,2929,101,4979,1997,97,1697,2553,127,1149,138,7,373,4, True
DC,63,408, no, no,0,83,64,1411,177,106,1505,2457,89,1106,13,3,351,0, False
MN,53,415, no, yes,24,1457,146,2477,2205,136,1874,2499,96,1125,131,5,354,3, False
DE,62,408, no, no,0,1823,101,3099,3282,93,279,245,131,1103,112,1,302,2, False
MD,97,415, no, no,0,218,86,3706,184,94,1564,2405,110,1082,64,8,173,3, False
MI,105,510, no, no,0,1406,109,239,1786,51,1518,217,83,976,68,3,184,2, False
WA,157,415, no, no,0,1527,105,2596,2575,80,2189,1981,93,891,94,4,254,1, False
MO,66,415, no, yes,36,1067,76,1814,2098,77,1783,1904,117,857,121,2,327,1, False
IN,122,415, no, no,0,2438,98,4145,839,72,713,1798,84,809,137,8,37,2, False
OR,38,415, no, no,0,1944,94,3305,1867,95,1587,2233,90,1005,108,5,292,3, False
MD,106,510, no, no,0,2139,95,3636,1519,70,1291,2601,124,117,122,5,329,3, False
RI,99,510, no, no,0,2172,112,3692,2467,89,2097,2261,89,1017,158,7,427,3, False
LA,99,415, no, no,0,2411,72,4099,1556,98,1323,1882,109,847,116,10,313,1, False
AZ,144,510, yes, no,0,2035,100,346,2476,103,2105,1943,94,874,119,11,321,0, False
PA,82,415, no, yes,24,1552,131,2638,2445,106,2078,1224,68,551,107,3,289,1, False
AZ,86,408, no, yes,31,1676,139,2849,113,118,961,2469,121,1111,122,6,329,1, False
FL,70,510, yes, no,0,2267,98,3854,2281,115,1939,732,93,329,176,4,475,2, True
LA,93,415, no, no,0,1793,93,3048,1786,98,1518,2252,131,1013,115,6,311,3, False
FL,93,415, no, no,0,1514,89,2574,1864,76,1584,1725,120,776,109,3,294,0, False
FL,120,415, no, no,0,180,80,306,2242,82,1906,2654,91,1194,47,7,127,3, False
MD,136,415, no, no,0,2502,121,4253,2671,118,227,151,114,68,13,2,351,1, True
AL,106,415, no, no,0,223,121,3791,1101,98,936,1887,107,849,71,12,192,0, False
WA,81,415, no, no,0,1836,116,3121,1526,98,1297,2122,99,955,122,6,329,3, False
TN,127,408, no, yes,22,166,114,2822,1745,103,1483,2449,68,1102,102,6,275,1, False
MS,65,415, no, no,0,1361,112,2314,2729,96,232,2202,104,991,44,2,119,1, False
ME,35,408, no, no,0,1493,113,2538,2422,122,2059,1743,104,784,89,6,24,2, False
OK,88,408, no, no,0,654,97,1112,1682,76,143,236,113,1062,138,1,373,2, False
IN,65,415, no, no,0,2134,111,3628,2345,94,1993,2501,123,1125,27,4,73,1, False
MO,123,415, no, no,0,2069,85,3517,2447,78,208,2215,136,997,77,2,208,3, False
IA,126,408, no, yes,27,1862,78,3165,1896,83,1612,765,139,344,96,3,259,2, False
VA,104,415, no, yes,23,2802,136,4763,2205,92,1874,1369,102,616,133,3,359,4, False
KY,45,415, no, yes,22,1966,84,3342,3132,92,2662,1633,108,735,119,3,321,0, False
MD,93,408, yes, no,0,312,109,5304,1294,100,11,2176,74,979,105,2,284,0, True
OH,63,415, yes, yes,36,199,110,3383,2913,111,2476,1976,92,889,11,6,297,1, False
OK,100,415, no, no,0,2031,96,3453,217,126,1845,1809,122,814,135,2,365,3, False
NV,53,415, no, no,0,1688,97,287,2203,87,1873,1543,113,694,109,2,294,0, False
ID,92,415, yes, no,0,1731,140,2943,2403,105,2043,2332,117,1049,9,5,243,1, False
MN,139,510, no, no,0,1344,106,2285,2113,98,1796,1936,125,871,102,2,275,5, True
SD,110,408, no, yes,40,2026,103,3444,1188,128,101,2349,98,1057,9,9,243,2, False
IL,110,408, no, no,0,745,117,1267,2008,98,1707,1922,101,865,98,7,265,3, False
WY,215,510, no, no,0,836,148,1421,1209,91,1028,2266,110,102,107,9,289,0, False
AL,73,415, no, no,0,1922,86,3267,1686,116,1433,1398,87,629,94,6,254,1, False
NJ,138,510, no, no,0,2202,89,3743,883,125,751,1953,79,879,129,5,348,0, False
NV,137,415, yes, no,0,1351,95,2297,1341,102,114,2231,81,1004,123,2,332,2, True
IN,36,415, no, no,0,2534,77,4308,1824,151,155,2758,103,1241,84,2,227,1, False
WV,85,408, no, no,0,225,81,3825,1769,63,1504,1943,110,874,71,2,192,3, False
VA,108,408, no, no,0,1985,99,3375,2678,60,2276,3549,75,1597,94,3,254,0, True
SC,22,408, no, no,0,1103,107,1875,1665,93,1415,2023,96,91,95,5,257,0, False
RI,107,415, no, yes,37,60,102,102,1022,80,869,2618,106,1178,111,3,3,0, False
IN,51,510, no, no,0,2148,94,3652,1497,58,1272,2834,66,1275,102,5,275,0, False
AZ,94,408, no, no,0,1818,85,3091,2024,98,172,2459,97,1107,92,2,248,4, False
NM,119,510, no, yes,23,154,114,2618,278,137,2363,2284,112,1028,118,4,319,2, False
OR,33,415, no, yes,29,1574,99,2676,1179,80,1002,2792,79,1256,139,11,375,4, True
NJ,106,415, no, no,0,2079,91,3534,172,109,1462,1918,143,863,144,7,389,4, False
MS,82,408, no, no,0,207,90,3519,2329,83,198,1724,108,776,91,8,246,3, False
MI,86,510, no, yes,41,119,101,2023,230,134,1955,2369,58,1066,95,3,257,0, False
TX,97,415, yes, no,0,1437,117,2443,273,82,2321,1783,81,802,109,3,294,0, False
FL,106,408, no, yes,32,1659,126,282,2165,93,184,1731,86,779,141,8,381,4, False
DC,108,510, no, no,0,1386,122,2356,1723,117,1465,2316,92,1042,98,3,265,1, False
TX,114,415, no, no,0,847,118,144,2499,86,2124,1934,95,87,145,8,392,1, False
KS,92,408, yes, no,0,626,111,1064,1806,126,1535,2217,80,998,104,2,281,1, True
UT,59,510, no, no,0,1552,79,2638,2353,123,20,1694,80,762,87,4,235,1, False
MN,24,510, no, yes,25,1649,110,2803,2093,105,1779,2312,55,104,67,9,181,1, False
IL,151,408, no, no,0,1345,88,2287,1431,112,1216,2239,61,1008,154,1,416,1, False
NM,117,415, no, no,0,1433,103,2436,2113,108,1796,1852,96,833,115,3,311,1, False
SC,78,510, no, no,0,1683,110,2861,2212,73,188,241,136,1085,125,1,338,1, False
NC,155,408, no, no,0,2624,55,4461,1946,113,1654,1465,85,659,83,6,224,2, False
WV,114,510, no, yes,30,2062,79,3505,260,91,221,2916,83,1312,114,6,308,1, False
RI,114,510, no, yes,28,2258,94,3839,193,117,1641,2324,100,1046,84,9,227,4, False
NH,119,408, no, no,0,1383,89,2351,1705,78,1449,2639,98,1188,135,6,365,3, False
MO,64,510, no, yes,48,944,104,1605,1362,101,1158,1474,89,663,45,4,122,0, False
MA,118,408, yes, no,0,160,123,272,1754,96,1491,1848,99,832,99,3,267,2, False
PA,101,415, no, no,0,2066,105,3512,2249,117,1912,2499,100,1125,146,3,394,0, False
OK,117,415, no, no,0,1347,121,229,180,83,153,2009,104,904,77,3,208,1, False
AL,49,415, no, yes,28,2144,78,3645,2352,100,1999,2062,107,928,8,13,216,3, False
WY,139,415, no, no,0,1928,104,3278,2344,96,1992,2032,101,914,13,3,351,3, False
PA,92,408, no, yes,28,1511,90,2569,1948,79,1656,2392,114,1076,10,3,27,1, False
WA,83,415, no, no,0,2214,103,3764,2318,103,197,1225,100,551,98,5,265,3, False
HI,148,510, yes, no,0,2189,88,3721,208,85,1768,2033,99,915,111,4,3,0, False
SD,144,408, no, yes,48,1898,96,3227,1234,67,1049,2142,106,964,65,2,176,2, True
AL,131,415, no, yes,25,1927,85,3276,2259,105,192,2542,59,1144,109,6,294,2, False
VT,146,510, yes, no,0,2044,135,3475,2191,90,1862,2227,114,1002,105,6,284,3, False
MT,143,415, no, no,0,1723,97,2929,174,108,1479,1882,119,847,13,4,351,2, False
MN,81,415, no, no,0,1984,93,3373,2109,108,1793,1933,71,87,104,6,281,2, False
AK,48,415, no, yes,37,2117,115,3599,1599,84,1359,1441,80,648,122,1,329,1, False
MI,86,415, no, yes,28,2216,74,3767,2884,100,2451,2403,105,1081,9,2,243,1, False
DE,71,415, no, no,0,1979,108,3364,1815,109,1543,2814,56,1266,67,5,181,3, False
SD,145,408, no, yes,24,1475,90,2508,1757,108,1493,2521,102,1134,156,3,421,2, False
MI,137,510, no, no,0,2064,122,3509,128,102,1088,1945,84,875,88,5,238,2, False
KS,137,408, no, no,0,2059,88,35,2093,86,1779,2899,84,1305,145,4,392,2, False
AL,167,510, no, no,0,2076,88,3529,1324,63,1125,2552,98,1148,141,5,381,0, False
OK,89,510, no, no,0,3039,95,5166,2609,114,2218,3121,89,1404,53,3,143,1, True
CT,199,415, no, yes,34,2306,121,392,2194,99,1865,2993,94,1347,8,2,216,0, False
NE,132,510, no, no,0,995,110,1692,1291,80,1097,1251,124,563,97,3,262,0, False
WI,94,510, no, no,0,1771,112,3011,194,112,1649,1467,108,66,59,4,159,1, False
CT,96,415, no, yes,37,1727,93,2936,1201,116,1021,2161,86,972,103,5,278,5, True
WI,96,510, no, yes,18,1727,86,2936,1334,113,1134,2595,70,1168,98,3,265,1, False
IN,166,510, no, no,0,2042,115,3471,1799,152,1529,2168,109,976,95,5,257,1, False
DC,74,415, no, no,0,857,83,1457,2477,67,2105,1424,85,641,101,5,273,2, False
